country,activity_sector,number_of_full_time_employees,percentage_of_telework,annual_consumption_of_electricity,annual_consumption_of_natural_gas,annual_consumption_of_propane,annual_consumption_of_fuel,annual_consumption_of_coal,annual_consumption_of_refrigerant,annual_consumption_of_GPL,fuel_consumption_of_gasoline,fuel_consumption_of_diesel,consumption_of_LPG,number_of_short_haul_round_trip,number_of_medium_haul_round_trip,number_of_long_haul_round_trip,tons_of_air_freight_lt_3000,tons_of_air_freight_gt_3000,tons_of_sea_freight_lt_3000,tons_of_sea_freight_gt_3000,expenses_of_paper,expenses_of_small_office_supplies,built_area_of_company,number_of_light_duty_vehicles,number_of_commercial_vehicles,number_of_heavy_vehicles,number_of_desktop_computers,number_of_laptops,number_of_individual_printers,number_of_servers,number_of_multifunction_printers,number_of_flat_panel_screens,carbon_footprint
UK,Agriculture,1250,60.21217065823487,191023.76660150266,272012.08128735784,149117.27041829418,197758.50940558742,5784.5785263095895,85.22568417974996,77216.37419899805,121916.21896179621,247824.2215755103,154702.25205097202,30,207,193,8919.695735523528,13253.107944099682,43337.679082014394,68229.68535072295,96369.05884091025,30429.017376968335,99394.28849463518,176,85,91,445,1779,427,59,20,1876,3712010.435134842
Japan,Retail,3955,18.10275035659953,902888.5871792114,332966.4068645399,33375.49186019762,257525.3930286987,2513.6313801743904,4298.363269237116,132319.99334236857,67494.70647047905,495527.92286622385,65282.59066930053,304,11,156,6226.79191616841,17547.716424242324,33756.175663968315,82018.6898632585,34952.35838489565,25064.04338638491,12889.275184777798,141,137,91,463,264,44,85,1,1323,4778554.526091839
Brazil,Manufacturing,564,80.69311262281109,225290.96034099974,307612.0319061354,58318.622930867336,52554.76013825916,6470.93515090586,4466.123615890469,191979.1213654227,425876.4075208916,116457.67803917323,86478.16362696145,10,144,150,3752.4184102830727,13057.099340908424,28400.027747195832,75127.55851921487,26159.029714505854,16381.68695483385,15953.40440083927,163,37,88,346,1332,421,0,179,1674,3668955.177983776
USA,Retail,4783,87.4498997572115,955590.8092119643,140968.88798182434,92584.63092452382,231924.95716184346,666.0120523217128,1605.5720308543232,9275.859090510763,122610.65098526941,419315.01146330405,121654.64754526183,264,14,112,5457.198016000865,15070.183206722902,46827.629701793165,98926.4260784317,48183.25144207992,17996.072012040437,50211.040554578445,136,47,25,275,302,307,67,152,1965,3641232.6787779545
Australia,IT,3428,50.928197753721705,290771.7379559353,416607.6508111004,63945.167658330116,275273.6120743088,7230.829274440714,2823.7083164629134,186689.72681614413,349768.61126501503,86129.92110788458,42284.55900420352,378,176,187,5699.972742282138,3289.962901563528,20034.663392543433,33065.18975013144,31535.73465799391,47206.04093023316,96859.51218916493,21,49,16,122,56,98,13,144,1954,3597092.275103127
USA,Manufacturing,1589,31.80740810889362,129560.10805312055,193149.50439965256,106823.07905432777,498888.9564900862,5339.367891372665,709.0350942537765,108413.01579067745,439643.9256565244,445749.0986404609,148732.04536590423,290,262,46,9563.894229425789,19064.56718274702,1759.2190679934172,12620.076506301004,37742.572572670215,2217.4916882880543,90930.3763284443,157,103,14,667,477,190,54,68,1236,4963841.850788967
UK,Agriculture,3774,25.628710454600302,573212.5326972753,477374.5148658806,18967.926585593654,394470.3498805774,6812.65915439215,3207.776972239193,133551.69725341952,404824.37514322676,244300.48268264942,77443.16186276292,398,173,193,8160.168511070206,8157.881567748246,35657.62277158064,94734.36102437493,36412.67365687682,13163.499421474124,15774.00478098404,150,79,43,432,519,13,93,149,838,5131405.191771898
India,Manufacturing,709,8.89859347384867,597371.7370658693,413505.25777600746,190423.17945228098,197001.02848801177,5478.081770536241,4787.635111393564,31577.687910698238,389192.37951019726,152132.99167057747,182312.35149749182,123,43,173,1911.7270209151238,9840.415397963101,37836.72444591391,17848.96625763305,2724.5820664765215,11431.280993262637,67792.70175956524,148,174,85,419,99,345,55,136,858,4404584.7400102625
Japan,Agriculture,4947,41.99775424526514,630241.3742831491,77514.27648268366,195888.96033400652,410794.25078661984,8312.783704279676,1719.6495978096282,106972.00140233012,467724.49276865204,50384.74629394091,16392.12072715932,264,255,6,5621.758712829192,13359.40838730721,33052.12334956751,54947.04481543642,36244.12065636172,47298.30835450676,83725.08180628339,190,195,14,520,1188,467,28,109,1499,3927936.2449323656
Japan,Healthcare,249,58.40096112122305,275087.6194489803,29910.097537299174,14666.205719529678,405585.69919555483,7313.28873033401,2637.259412875098,103761.29978447317,169496.43152205512,314662.33815995045,44147.78441852789,259,61,23,3759.4922995511192,2197.357668835034,41063.19214323661,27567.132691313545,89973.6153234571,33473.052357253706,35774.95983713805,108,52,97,461,380,472,94,192,744,3598207.850218677
